transaction_type,cost_region,transaction_cost_type,total_revenue_gbp,total_cost_gbp,profit_gbp,transaction_count,average_profit
CASH_WITHDRAWAL,Domestic,ATM,-40.3821648,32.73016482,-73.11232962,216,-0.34
CASH_WITHDRAWAL,Inter,ATM,-183.49654150000018,1529.40358010069,-1712.9001216006902,1093,-1.57
CASH_WITHDRAWAL,Intra,ATM,-530.8079100899996,69.6399865829925,-600.4478966729921,260,-2.31
ECOM_PURCHASE,Domestic,POS/ECOM,116.11987588,-102.98517880762,219.10505468762,889,0.25
ECOM_PURCHASE,Inter,POS/ECOM,111.79314931999998,56.351875361454006,55.44127395854597,1123,0.05
ECOM_PURCHASE,Intra,POS/ECOM,305.9285017100001,5.7005490424,300.2279526676001,778,0.39
POS_PURCHASE,Domestic,POS/ECOM,88.18183713,89.0829109079,-0.9010737779000023,2995,-0.0
POS_PURCHASE,Inter,POS/ECOM,566.7804854900002,413.667345106551,153.11314038344912,7740,0.02
POS_PURCHASE,Intra,POS/ECOM,235.42363095,65.5893813431,169.8342496069,2294,0.07
