profile_address_country,user_count,avg_12_month_ltv,atm_count,pos_count,ecom_count
DK,12,6.438333333333333,8,240,80
CH,53,6.400377358490567,47,513,197
HU,36,4.459722222222222,42,548,131
IT,19,3.3194736842105255,19,260,67
ES,51,-0.8196078431372543,69,395,161
CZ,23,-5.93304347826087,44,201,61
GB,462,-6.758051948051949,857,6139,1158
IE,23,-7.852173913043478,28,449,47
PL,15,-8.862666666666666,13,273,7
DE,78,-13.55397435897436,101,436,217
SE,20,-13.732999999999999,27,401,49
PT,18,-13.867777777777778,31,98,15
RO,15,-18.501333333333335,28,192,43
FR,58,-18.880862068965516,77,473,108
EE,37,-19.069729729729726,68,1678,261
NL,32,-22.0375,36,145,56
